waypoint number       time [s]              PosX [mm]             PosY [mm]             PosZ [mm]             Roll [degrees]        Pitch [degrees]       Yaw [degrees]         Cycle time [ms]       
182                   1.830174302314506     28.76588628762542     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
183                   1.84017525478617      28.923076923076923    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
184                   1.850176207257834     29.08026755852843     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
185                   1.860177159729498     29.237458193979933    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
186                   1.870178112201162     29.39464882943144     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
187                   1.880179064672826     29.551839464882946    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
188                   1.89018001714449      29.70903010033445     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
189                   1.9001809696161538    29.866220735785955    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
190                   1.9101819220878178    30.023411371237458    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
191                   1.9201828745594818    30.180602006688964    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
192                   1.9301838270311458    30.33779264214047     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
193                   1.9401847795028098    30.494983277591974    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
194                   1.9501857319744738    30.65217391304348     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
195                   1.9601866844461378    30.809364548494983    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
196                   1.9701876369178017    30.96655518394649     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
197                   1.9801885893894657    31.123745819397996    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
198                   1.9901895418611297    31.2809364548495      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
199                   2.0001904943327937    31.438127090301005    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
200                   2.0101914468044577    31.59531772575251     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
201                   2.0201923992761217    31.752508361204015    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
202                   2.0301933517477853    31.90969899665552     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663549    
203                   2.0401943042194493    32.06688963210703     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
204                   2.0501952566911132    32.22408026755853     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
205                   2.0601962091627772    32.381270903010034    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
206                   2.0701971616344412    32.53846153846154     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
207                   2.0801981141061052    32.69565217391305     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
208                   2.090199066577769     32.85284280936455     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
209                   2.100200019049433     33.01003344481605     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
210                   2.110200971521097     33.16722408026756     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
211                   2.120201923992761     33.324414715719065    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
212                   2.130202876464425     33.48160535117057     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
213                   2.140203828936089     33.63879598662208     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
214                   2.150204781407753     33.79598662207358     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
215                   2.160205733879417     33.953177257525084    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
216                   2.170206686351081     34.11036789297659     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
217                   2.180207638822745     34.2675585284281      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
218                   2.190208591294409     34.4247491638796      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
219                   2.200209543766073     34.5819397993311      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
220                   2.2102104962377367    34.73913043478261     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663549    
221                   2.2202114487094007    34.896321070234116    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
222                   2.2302124011810647    35.05351170568562     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
223                   2.2402133536527287    35.21070234113712     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
